KEGG ID hsa,hsa,KEGG ID pae,pae,KEGG ID lsv,lsv,KEGG ID rsx,rsx,KEGG ID ztr,ztr,KEGG ID bfu,bfu,KEGG ID cne,cne,KEGG ID cng,cng,KEGG ID cal,cal,KEGG ID afm,afm
hsa01100,Metabolic pathways - Homo sapiens (human),pae01100,Metabolic pathways - Pseudomonas aeruginosa PAO1,lsv01100,Metabolic pathways - Lactuca sativa (garden lettuce),rsx01100,Metabolic pathways - Rhizoctonia solani,ztr01100,Metabolic pathways - Zymoseptoria tritici,bfu01100,Metabolic pathways - Botrytis cinerea (gray mold),cne01100,Metabolic pathways - Cryptococcus neoformans var. neoformans JEC21,cng01100,Metabolic pathways - Cryptococcus neoformans var. grubii H99,cal01100,Metabolic pathways - Candida albicans,afm01100,Metabolic pathways - Aspergillus fumigatus
hsa01200,Carbon metabolism - Homo sapiens (human),pae01110,Biosynthesis of secondary metabolites - Pseudomonas aeruginosa PAO1,lsv01110,Biosynthesis of secondary metabolites - Lactuca sativa (garden lettuce),rsx01110,Biosynthesis of secondary metabolites - Rhizoctonia solani,ztr01110,Biosynthesis of secondary metabolites - Zymoseptoria tritici,bfu01110,Biosynthesis of secondary metabolites - Botrytis cinerea (gray mold),cne01110,Biosynthesis of secondary metabolites - Cryptococcus neoformans var. neoformans JEC21,cng01110,Biosynthesis of secondary metabolites - Cryptococcus neoformans var. grubii H99,cal01110,Biosynthesis of secondary metabolites - Candida albicans,afm01110,Biosynthesis of secondary metabolites - Aspergillus fumigatus
hsa01210,2-Oxocarboxylic acid metabolism - Homo sapiens (human),pae01120,Microbial metabolism in diverse environments - Pseudomonas aeruginosa PAO1,lsv01200,Carbon metabolism - Lactuca sativa (garden lettuce),rsx01200,Carbon metabolism - Rhizoctonia solani,ztr01200,Carbon metabolism - Zymoseptoria tritici,bfu01200,Carbon metabolism - Botrytis cinerea (gray mold),cne01200,Carbon metabolism - Cryptococcus neoformans var. neoformans JEC21,cng01200,Carbon metabolism - Cryptococcus neoformans var. grubii H99,cal01200,Carbon metabolism - Candida albicans,afm01200,Carbon metabolism - Aspergillus fumigatus
hsa01212,Fatty acid metabolism - Homo sapiens (human),pae01200,Carbon metabolism - Pseudomonas aeruginosa PAO1,lsv01210,2-Oxocarboxylic acid metabolism - Lactuca sativa (garden lettuce),rsx01210,2-Oxocarboxylic acid metabolism - Rhizoctonia solani,ztr01210,2-Oxocarboxylic acid metabolism - Zymoseptoria tritici,bfu01210,2-Oxocarboxylic acid metabolism - Botrytis cinerea (gray mold),cne01210,2-Oxocarboxylic acid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng01210,2-Oxocarboxylic acid metabolism - Cryptococcus neoformans var. grubii H99,cal01210,2-Oxocarboxylic acid metabolism - Candida albicans,afm01210,2-Oxocarboxylic acid metabolism - Aspergillus fumigatus
hsa01230,Biosynthesis of amino acids - Homo sapiens (human),pae01210,2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa PAO1,lsv01212,Fatty acid metabolism - Lactuca sativa (garden lettuce),rsx01212,Fatty acid metabolism - Rhizoctonia solani,ztr01212,Fatty acid metabolism - Zymoseptoria tritici,bfu01212,Fatty acid metabolism - Botrytis cinerea (gray mold),cne01212,Fatty acid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng01212,Fatty acid metabolism - Cryptococcus neoformans var. grubii H99,cal01212,Fatty acid metabolism - Candida albicans,afm01212,Fatty acid metabolism - Aspergillus fumigatus
hsa01232,Nucleotide metabolism - Homo sapiens (human),pae01212,Fatty acid metabolism - Pseudomonas aeruginosa PAO1,lsv01230,Biosynthesis of amino acids - Lactuca sativa (garden lettuce),rsx01230,Biosynthesis of amino acids - Rhizoctonia solani,ztr01230,Biosynthesis of amino acids - Zymoseptoria tritici,bfu01230,Biosynthesis of amino acids - Botrytis cinerea (gray mold),cne01230,Biosynthesis of amino acids - Cryptococcus neoformans var. neoformans JEC21,cng01230,Biosynthesis of amino acids - Cryptococcus neoformans var. grubii H99,cal01230,Biosynthesis of amino acids - Candida albicans,afm01230,Biosynthesis of amino acids - Aspergillus fumigatus
hsa01250,Biosynthesis of nucleotide sugars - Homo sapiens (human),pae01230,Biosynthesis of amino acids - Pseudomonas aeruginosa PAO1,lsv01232,Nucleotide metabolism - Lactuca sativa (garden lettuce),rsx01232,Nucleotide metabolism - Rhizoctonia solani,ztr01232,Nucleotide metabolism - Zymoseptoria tritici,bfu01232,Nucleotide metabolism - Botrytis cinerea (gray mold),cne01232,Nucleotide metabolism - Cryptococcus neoformans var. neoformans JEC21,cng01232,Nucleotide metabolism - Cryptococcus neoformans var. grubii H99,cal01232,Nucleotide metabolism - Candida albicans,afm01232,Nucleotide metabolism - Aspergillus fumigatus
hsa01240,Biosynthesis of cofactors - Homo sapiens (human),pae01232,Nucleotide metabolism - Pseudomonas aeruginosa PAO1,lsv01250,Biosynthesis of nucleotide sugars - Lactuca sativa (garden lettuce),rsx01250,Biosynthesis of nucleotide sugars - Rhizoctonia solani,ztr01250,Biosynthesis of nucleotide sugars - Zymoseptoria tritici,bfu01250,Biosynthesis of nucleotide sugars - Botrytis cinerea (gray mold),cne01250,Biosynthesis of nucleotide sugars - Cryptococcus neoformans var. neoformans JEC21,cng01250,Biosynthesis of nucleotide sugars - Cryptococcus neoformans var. grubii H99,cal01250,Biosynthesis of nucleotide sugars - Candida albicans,afm01250,Biosynthesis of nucleotide sugars - Aspergillus fumigatus
hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),pae01250,Biosynthesis of nucleotide sugars - Pseudomonas aeruginosa PAO1,lsv01240,Biosynthesis of cofactors - Lactuca sativa (garden lettuce),rsx01240,Biosynthesis of cofactors - Rhizoctonia solani,ztr01240,Biosynthesis of cofactors - Zymoseptoria tritici,bfu01240,Biosynthesis of cofactors - Botrytis cinerea (gray mold),cne01240,Biosynthesis of cofactors - Cryptococcus neoformans var. neoformans JEC21,cng01240,Biosynthesis of cofactors - Cryptococcus neoformans var. grubii H99,cal01240,Biosynthesis of cofactors - Candida albicans,afm01240,Biosynthesis of cofactors - Aspergillus fumigatus
hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),pae01240,Biosynthesis of cofactors - Pseudomonas aeruginosa PAO1,lsv01310,Nitrogen cycle - Lactuca sativa (garden lettuce),rsx01310,Nitrogen cycle - Rhizoctonia solani,ztr01310,Nitrogen cycle - Zymoseptoria tritici,bfu01310,Nitrogen cycle - Botrytis cinerea (gray mold),cne00010,Glycolysis / Gluconeogenesis - Cryptococcus neoformans var. neoformans JEC21,cng00010,Glycolysis / Gluconeogenesis - Cryptococcus neoformans var. grubii H99,cal00010,Glycolysis / Gluconeogenesis - Candida albicans,afm01310,Nitrogen cycle - Aspergillus fumigatus
hsa00030,Pentose phosphate pathway - Homo sapiens (human),pae01220,Degradation of aromatic compounds - Pseudomonas aeruginosa PAO1,lsv00010,Glycolysis / Gluconeogenesis - Lactuca sativa (garden lettuce),rsx00010,Glycolysis / Gluconeogenesis - Rhizoctonia solani,ztr00010,Glycolysis / Gluconeogenesis - Zymoseptoria tritici,bfu00010,Glycolysis / Gluconeogenesis - Botrytis cinerea (gray mold),cne00020,Citrate cycle (TCA cycle) - Cryptococcus neoformans var. neoformans JEC21,cng00020,Citrate cycle (TCA cycle) - Cryptococcus neoformans var. grubii H99,cal00020,Citrate cycle (TCA cycle) - Candida albicans,afm00010,Glycolysis / Gluconeogenesis - Aspergillus fumigatus
