hsa,pae,lsv,rsx,ztr,bfu,cne,cng,cal,afm
Regulation of actin cytoskeleton,Aminobenzoate degradation,Brassinosteroid biosynthesis,,,,,,,Biosynthesis of various antibiotics
Protein digestion and absorption,Peptidoglycan biosynthesis,Monoterpenoid biosynthesis,,,,,,,
Bladder cancer,Bacterial chemotaxis,Isoflavonoid biosynthesis,,,,,,,
Staphylococcus aureus infection,Chloroalkane and chloroalkene degradation,Betalain biosynthesis,,,,,,,
Gastric acid secretion,Degradation of aromatic compounds,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",,,,,,,
Synaptic vesicle cycle,Acarbose and validamycin biosynthesis,Plant-pathogen interaction,,,,,,,
cAMP signaling pathway,Degradation of flavonoids,Isoquinoline alkaloid biosynthesis,,,,,,,
Diabetic cardiomyopathy,Nitrotoluene degradation,Glucosinolate biosynthesis,,,,,,,
Drug metabolism - cytochrome P450,Caprolactam degradation,Photosynthesis,,,,,,,
Morphine addiction,"Pinene, camphor and geraniol degradation",MAPK signaling pathway - plant,,,,,,,
Necroptosis,Xylene degradation,Flavone and flavonol biosynthesis,,,,,,,
Hypertrophic cardiomyopathy,Quorum sensing,Photosynthesis - antenna proteins,,,,,,,
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Chlorocyclohexane and chlorobenzene degradation,Anthocyanin biosynthesis,,,,,,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,Phosphotransferase system (PTS),Phenylpropanoid biosynthesis,,,,,,,
Adrenergic signaling in cardiomyocytes,Toluene degradation,Zeatin biosynthesis,,,,,,,
Tuberculosis,Mycolic acid biosynthesis,"Tropane, piperidine and pyridine alkaloid biosynthesis",,,,,,,
Amphetamine addiction,Styrene degradation,Flavonoid biosynthesis,,,,,,,
MAPK signaling pathway,Polyketide sugar unit biosynthesis,Circadian rhythm - plant,,,,,,,
Yersinia infection,Microbial metabolism in diverse environments,Plant hormone signal transduction,,,,,,,
Longevity regulating pathway,Phenazine biosynthesis,,,,,,,,
Endocrine and other factor-regulated calcium reabsorption,Fluorobenzoate degradation,,,,,,,,
Pathogenic Escherichia coli infection,Novobiocin biosynthesis,,,,,,,,
Bile secretion,Limonene degradation,,,,,,,,
Cell cycle,Lipopolysaccharide biosynthesis,,,,,,,,
Oocyte meiosis,Other carbon fixation pathways,,,,,,,,
Pathways in cancer,Teichoic acid biosynthesis,,,,,,,,
Prolactin signaling pathway,Bacterial secretion system,,,,,,,,
Asthma,Two-component system,,,,,,,,
Sphingolipid signaling pathway,Cationic antimicrobial peptide (CAMP) resistance,,,,,,,,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,Biofilm formation - Pseudomonas aeruginosa,,,,,,,,
Drug metabolism - other enzymes,Benzoate degradation,,,,,,,,
Primary immunodeficiency,Streptomycin biosynthesis,,,,,,,,
Natural killer cell mediated cytotoxicity,Vancomycin resistance,,,,,,,,
PI3K-Akt signaling pathway,O-Antigen nucleotide sugar biosynthesis,,,,,,,,
MicroRNAs in cancer,Naphthalene degradation,,,,,,,,
Human papillomavirus infection,Flagellar assembly,,,,,,,,
Glucagon signaling pathway,,,,,,,,,
Ras signaling pathway,,,,,,,,,
Adipocytokine signaling pathway,,,,,,,,,
Breast cancer,,,,,,,,,
Toxoplasmosis,,,,,,,,,
Allograft rejection,,,,,,,,,
Alcoholism,,,,,,,,,
Thyroid hormone signaling pathway,,,,,,,,,
Chemical carcinogenesis - receptor activation,,,,,,,,,
Graft-versus-host disease,,,,,,,,,
Human T-cell leukemia virus 1 infection,,,,,,,,,
Signaling pathways regulating pluripotency of stem cells,,,,,,,,,
"Virion - Ebolavirus, Lyssavirus and Morbillivirus",,,,,,,,,
Mitophagy - animal,,,,,,,,,
