hsa,pae,lsv
Metabolic pathways,Metabolic pathways,Metabolic pathways
Carbon metabolism,Biosynthesis of secondary metabolites,Biosynthesis of secondary metabolites
2-Oxocarboxylic acid metabolism,Microbial metabolism in diverse environments,Carbon metabolism
Fatty acid metabolism,Carbon metabolism,2-Oxocarboxylic acid metabolism
Biosynthesis of amino acids,2-Oxocarboxylic acid metabolism,Fatty acid metabolism
Nucleotide metabolism,Fatty acid metabolism,Biosynthesis of amino acids
Biosynthesis of nucleotide sugars,Biosynthesis of amino acids,Nucleotide metabolism
Biosynthesis of cofactors,Nucleotide metabolism,Biosynthesis of nucleotide sugars
Glycolysis / Gluconeogenesis,Biosynthesis of nucleotide sugars,Biosynthesis of cofactors
Citrate cycle (TCA cycle),Biosynthesis of cofactors,Nitrogen cycle
Pentose phosphate pathway,Degradation of aromatic compounds,Glycolysis / Gluconeogenesis
Pentose and glucuronate interconversions,Nitrogen cycle,Citrate cycle (TCA cycle)
Fructose and mannose metabolism,Glycolysis / Gluconeogenesis,Pentose phosphate pathway
Galactose metabolism,Citrate cycle (TCA cycle),Pentose and glucuronate interconversions
Ascorbate and aldarate metabolism,Pentose phosphate pathway,Fructose and mannose metabolism
Starch and sucrose metabolism,Pentose and glucuronate interconversions,Galactose metabolism
Amino sugar and nucleotide sugar metabolism,Fructose and mannose metabolism,Ascorbate and aldarate metabolism
Pyruvate metabolism,Galactose metabolism,Starch and sucrose metabolism
Glyoxylate and dicarboxylate metabolism,Ascorbate and aldarate metabolism,Amino sugar and nucleotide sugar metabolism
Propanoate metabolism,Starch and sucrose metabolism,Pyruvate metabolism
Butanoate metabolism,Amino sugar and nucleotide sugar metabolism,Glyoxylate and dicarboxylate metabolism
Inositol phosphate metabolism,Pyruvate metabolism,Propanoate metabolism
Oxidative phosphorylation,Glyoxylate and dicarboxylate metabolism,Butanoate metabolism
Nitrogen metabolism,Propanoate metabolism,C5-Branched dibasic acid metabolism
Sulfur metabolism,Butanoate metabolism,Inositol phosphate metabolism
Fatty acid biosynthesis,C5-Branched dibasic acid metabolism,Oxidative phosphorylation
Fatty acid elongation,Inositol phosphate metabolism,Photosynthesis
Fatty acid degradation,Oxidative phosphorylation,Photosynthesis - antenna proteins
Steroid biosynthesis,Carbon fixation by Calvin cycle,Carbon fixation by Calvin cycle
Primary bile acid biosynthesis,Other carbon fixation pathways,Nitrogen metabolism
Steroid hormone biosynthesis,Methane metabolism,Sulfur metabolism
Glycerolipid metabolism,Nitrogen metabolism,Fatty acid biosynthesis
Glycerophospholipid metabolism,Sulfur metabolism,Fatty acid elongation
Ether lipid metabolism,Fatty acid biosynthesis,Fatty acid degradation
Sphingolipid metabolism,Fatty acid degradation,"Cutin, suberine and wax biosynthesis"
Arachidonic acid metabolism,Mycolic acid biosynthesis,Steroid biosynthesis
Linoleic acid metabolism,Glycerolipid metabolism,Glycerolipid metabolism
alpha-Linolenic acid metabolism,Glycerophospholipid metabolism,Glycerophospholipid metabolism
Biosynthesis of unsaturated fatty acids,Ether lipid metabolism,Ether lipid metabolism
Purine metabolism,Sphingolipid metabolism,Sphingolipid metabolism
Pyrimidine metabolism,alpha-Linolenic acid metabolism,Arachidonic acid metabolism
"Alanine, aspartate and glutamate metabolism",Biosynthesis of unsaturated fatty acids,Linoleic acid metabolism
"Glycine, serine and threonine metabolism",Purine metabolism,alpha-Linolenic acid metabolism
Cysteine and methionine metabolism,Pyrimidine metabolism,Biosynthesis of unsaturated fatty acids
"Valine, leucine and isoleucine degradation","Alanine, aspartate and glutamate metabolism",Purine metabolism
"Valine, leucine and isoleucine biosynthesis","Glycine, serine and threonine metabolism",Pyrimidine metabolism
Lysine degradation,Cysteine and methionine metabolism,"Alanine, aspartate and glutamate metabolism"
Arginine biosynthesis,"Valine, leucine and isoleucine degradation","Glycine, serine and threonine metabolism"
Arginine and proline metabolism,"Valine, leucine and isoleucine biosynthesis",Cysteine and methionine metabolism
Histidine metabolism,Lysine biosynthesis,"Valine, leucine and isoleucine degradation"
Tyrosine metabolism,Lysine degradation,"Valine, leucine and isoleucine biosynthesis"
Phenylalanine metabolism,Arginine biosynthesis,Lysine biosynthesis
Tryptophan metabolism,Arginine and proline metabolism,Lysine degradation
"Phenylalanine, tyrosine and tryptophan biosynthesis",Histidine metabolism,Arginine biosynthesis
beta-Alanine metabolism,Tyrosine metabolism,Arginine and proline metabolism
Taurine and hypotaurine metabolism,Phenylalanine metabolism,Histidine metabolism
Phosphonate and phosphinate metabolism,Tryptophan metabolism,Tyrosine metabolism
Selenocompound metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Phenylalanine metabolism
D-Amino acid metabolism,beta-Alanine metabolism,Tryptophan metabolism
Glutathione metabolism,Taurine and hypotaurine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis"
N-Glycan biosynthesis,Phosphonate and phosphinate metabolism,beta-Alanine metabolism
Various types of N-glycan biosynthesis,Selenocompound metabolism,Taurine and hypotaurine metabolism
Mucin type O-glycan biosynthesis,Cyanoamino acid metabolism,Phosphonate and phosphinate metabolism
Mannose type O-glycan biosynthesis,D-Amino acid metabolism,Selenocompound metabolism
Other types of O-glycan biosynthesis,Glutathione metabolism,Cyanoamino acid metabolism
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Lipopolysaccharide biosynthesis,D-Amino acid metabolism
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,O-Antigen nucleotide sugar biosynthesis,Glutathione metabolism
Glycosaminoglycan biosynthesis - keratan sulfate,Peptidoglycan biosynthesis,N-Glycan biosynthesis
Glycosaminoglycan degradation,Teichoic acid biosynthesis,Various types of N-glycan biosynthesis
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Exopolysaccharide biosynthesis,Other types of O-glycan biosynthesis
Glycosphingolipid biosynthesis - lacto and neolacto series,Thiamine metabolism,Glycosaminoglycan degradation
Glycosphingolipid biosynthesis - globo and isoglobo series,Riboflavin metabolism,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
Glycosphingolipid biosynthesis - ganglio series,Vitamin B6 metabolism,Glycosphingolipid biosynthesis - lacto and neolacto series
Other glycan degradation,Nicotinate and nicotinamide metabolism,Glycosphingolipid biosynthesis - globo and isoglobo series
Thiamine metabolism,Pantothenate and CoA biosynthesis,Glycosphingolipid biosynthesis - ganglio series
Riboflavin metabolism,Biotin metabolism,Other glycan degradation
Vitamin B6 metabolism,Lipoic acid metabolism,Exopolysaccharide biosynthesis
Nicotinate and nicotinamide metabolism,Folate biosynthesis,Thiamine metabolism
Pantothenate and CoA biosynthesis,One carbon pool by folate,Riboflavin metabolism
Biotin metabolism,Porphyrin metabolism,Vitamin B6 metabolism
Lipoic acid metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Nicotinate and nicotinamide metabolism
Folate biosynthesis,Terpenoid backbone biosynthesis,Pantothenate and CoA biosynthesis
One carbon pool by folate,Limonene degradation,Biotin metabolism
Retinol metabolism,"Pinene, camphor and geraniol degradation",Lipoic acid metabolism
Porphyrin metabolism,Polyketide sugar unit biosynthesis,Folate biosynthesis
Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of siderophore group nonribosomal peptides,One carbon pool by folate
Terpenoid backbone biosynthesis,Degradation of flavonoids,Porphyrin metabolism
Caffeine metabolism,Carbapenem biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis
"Neomycin, kanamycin and gentamicin biosynthesis",Monobactam biosynthesis,Terpenoid backbone biosynthesis
Metabolism of xenobiotics by cytochrome P450,Streptomycin biosynthesis,Monoterpenoid biosynthesis
Drug metabolism - cytochrome P450,Acarbose and validamycin biosynthesis,Sesquiterpenoid and triterpenoid biosynthesis
Drug metabolism - other enzymes,Novobiocin biosynthesis,Diterpenoid biosynthesis
RNA polymerase,Phenazine biosynthesis,Carotenoid biosynthesis
Basal transcription factors,Biosynthesis of various plant secondary metabolites,Brassinosteroid biosynthesis
Spliceosome,Biosynthesis of various other secondary metabolites,Zeatin biosynthesis
Ribosome,Benzoate degradation,Phenylpropanoid biosynthesis
Aminoacyl-tRNA biosynthesis,Aminobenzoate degradation,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
Nucleocytoplasmic transport,Fluorobenzoate degradation,Flavonoid biosynthesis
mRNA surveillance pathway,Chloroalkane and chloroalkene degradation,Flavone and flavonol biosynthesis
Ribosome biogenesis in eukaryotes,Chlorocyclohexane and chlorobenzene degradation,Anthocyanin biosynthesis
Protein export,Toluene degradation,Isoflavonoid biosynthesis
Protein processing in endoplasmic reticulum,Xylene degradation,Indole alkaloid biosynthesis
SNARE interactions in vesicular transport,Nitrotoluene degradation,Isoquinoline alkaloid biosynthesis
Ubiquitin mediated proteolysis,Styrene degradation,"Tropane, piperidine and pyridine alkaloid biosynthesis"
Sulfur relay system,Caprolactam degradation,Caffeine metabolism
Proteasome,Naphthalene degradation,Betalain biosynthesis
RNA degradation,RNA polymerase,Glucosinolate biosynthesis
DNA replication,Ribosome,Monobactam biosynthesis
Base excision repair,Aminoacyl-tRNA biosynthesis,Biosynthesis of various plant secondary metabolites
Nucleotide excision repair,Ribosome biogenesis in eukaryotes,RNA polymerase
Mismatch repair,Protein export,Basal transcription factors
Homologous recombination,Sulfur relay system,Spliceosome
Non-homologous end-joining,RNA degradation,Ribosome
Fanconi anemia pathway,DNA replication,Aminoacyl-tRNA biosynthesis
ATP-dependent chromatin remodeling,Base excision repair,Nucleocytoplasmic transport
Polycomb repressive complex,Nucleotide excision repair,mRNA surveillance pathway
Viral life cycle - HIV-1,Mismatch repair,Ribosome biogenesis in eukaryotes
Virion - Human immunodeficiency virus,Homologous recombination,Protein export
Virion - Rotavirus,Non-homologous end-joining,Protein processing in endoplasmic reticulum
Virion - Flavivirus and Alphavirus,Viral life cycle - HIV-1,SNARE interactions in vesicular transport
"Virion - Ebolavirus, Lyssavirus and Morbillivirus",ABC transporters,Ubiquitin mediated proteolysis
Virion - Lassa virus and SFTS virus,Phosphotransferase system (PTS),Sulfur relay system
Virion - Hepatitis viruses,Bacterial secretion system,Proteasome
Virion - Herpesvirus,Two-component system,RNA degradation
Virion - Adenovirus,Peroxisome,DNA replication
ABC transporters,Efferocytosis,Base excision repair
MAPK signaling pathway,Quorum sensing,Nucleotide excision repair
ErbB signaling pathway,Biofilm formation - Pseudomonas aeruginosa,Mismatch repair
Ras signaling pathway,Bacterial chemotaxis,Homologous recombination
Rap1 signaling pathway,Flagellar assembly,Non-homologous end-joining
Wnt signaling pathway,Folate transport and metabolism,Fanconi anemia pathway
Notch signaling pathway,Cobalamin transport and metabolism,ATP-dependent chromatin remodeling
Hedgehog signaling pathway,beta-Lactam resistance,Polycomb repressive complex
TGF-beta signaling pathway,Vancomycin resistance,Viral life cycle - HIV-1
Hippo signaling pathway,Cationic antimicrobial peptide (CAMP) resistance,Virion - Hepatitis viruses
Hippo signaling pathway - multiple species,,ABC transporters
VEGF signaling pathway,,MAPK signaling pathway - plant
Apelin signaling pathway,,Phosphatidylinositol signaling system
JAK-STAT signaling pathway,,Plant hormone signal transduction
NF-kappa B signaling pathway,,Endocytosis
TNF signaling pathway,,Phagosome
HIF-1 signaling pathway,,Lysosome
FoxO signaling pathway,,Peroxisome
Calcium signaling pathway,,Autophagy - other
Phosphatidylinositol signaling system,,Efferocytosis
Phospholipase D signaling pathway,,Motor proteins
Sphingolipid signaling pathway,,Cytoskeleton in muscle cells
cAMP signaling pathway,,Toll-like receptor signaling pathway
cGMP-PKG signaling pathway,,Folate transport and metabolism
PI3K-Akt signaling pathway,,Circadian rhythm - plant
AMPK signaling pathway,,Plant-pathogen interaction
mTOR signaling pathway,,Bacterial invasion of epithelial cells
Neuroactive ligand-receptor interaction,,
Cytokine-cytokine receptor interaction,,
Viral protein interaction with cytokine and cytokine receptor,,
ECM-receptor interaction,,
Cell adhesion molecules,,
Endocytosis,,
Phagosome,,
Lysosome,,
Peroxisome,,
Autophagy - animal,,
Autophagy - other,,
Mitophagy - animal,,
Efferocytosis,,
Cell cycle,,
Oocyte meiosis,,
Apoptosis,,
Apoptosis - multiple species,,
Ferroptosis,,
Necroptosis,,
p53 signaling pathway,,
Cellular senescence,,
Focal adhesion,,
Adherens junction,,
Tight junction,,
Gap junction,,
Signaling pathways regulating pluripotency of stem cells,,
Motor proteins,,
Cytoskeleton in muscle cells,,
Regulation of actin cytoskeleton,,
Hematopoietic cell lineage,,
Complement and coagulation cascades,,
Platelet activation,,
Neutrophil extracellular trap formation,,
Toll-like receptor signaling pathway,,
NOD-like receptor signaling pathway,,
RIG-I-like receptor signaling pathway,,
Cytosolic DNA-sensing pathway,,
C-type lectin receptor signaling pathway,,
Natural killer cell mediated cytotoxicity,,
Antigen processing and presentation,,
T cell receptor signaling pathway,,
Th1 and Th2 cell differentiation,,
Th17 cell differentiation,,
IL-17 signaling pathway,,
B cell receptor signaling pathway,,
Fc epsilon RI signaling pathway,,
Fc gamma R-mediated phagocytosis,,
Leukocyte transendothelial migration,,
Intestinal immune network for IgA production,,
Chemokine signaling pathway,,
Insulin secretion,,
Insulin signaling pathway,,
Glucagon signaling pathway,,
Regulation of lipolysis in adipocytes,,
Adipocytokine signaling pathway,,
PPAR signaling pathway,,
