KEGG_ID,Search_Item
hsa01100,Metabolic pathways 
pae01100,Metabolic pathways 
lsv01100,Metabolic pathways 
hsa01200,Carbon metabolism 
hsa01210,2-Oxocarboxylic acid metabolism 
lsv01200,Carbon metabolism 
hsa01212,Fatty acid metabolism 
pae01200,Carbon metabolism 
lsv01210,2-Oxocarboxylic acid metabolism 
hsa01230,Biosynthesis of amino acids 
pae01210,2-Oxocarboxylic acid metabolism 
lsv01212,Fatty acid metabolism 
hsa01232,Nucleotide metabolism 
pae01212,Fatty acid metabolism 
lsv01230,Biosynthesis of amino acids 
hsa01250,Biosynthesis of nucleotide sugars 
pae01230,Biosynthesis of amino acids 
lsv01232,Nucleotide metabolism 
hsa01240,Biosynthesis of cofactors 
pae01232,Nucleotide metabolism 
lsv01250,Biosynthesis of nucleotide sugars 
hsa00010,Glycolysis / Gluconeogenesis 
pae01250,Biosynthesis of nucleotide sugars 
lsv01240,Biosynthesis of cofactors 
hsa00020,Citrate cycle (TCA cycle) 
pae01240,Biosynthesis of cofactors 
hsa00030,Pentose phosphate pathway 
lsv00010,Glycolysis / Gluconeogenesis 
hsa00040,Pentose and glucuronate interconversions 
lsv00020,Citrate cycle (TCA cycle) 
hsa00051,Fructose and mannose metabolism 
pae00010,Glycolysis / Gluconeogenesis 
lsv00030,Pentose phosphate pathway 
hsa00052,Galactose metabolism 
pae00020,Citrate cycle (TCA cycle) 
lsv00040,Pentose and glucuronate interconversions 
hsa00053,Ascorbate and aldarate metabolism 
pae00030,Pentose phosphate pathway 
lsv00051,Fructose and mannose metabolism 
hsa00500,Starch and sucrose metabolism 
pae00040,Pentose and glucuronate interconversions 
lsv00052,Galactose metabolism 
hsa00520,Amino sugar and nucleotide sugar metabolism 
pae00051,Fructose and mannose metabolism 
lsv00053,Ascorbate and aldarate metabolism 
hsa00620,Pyruvate metabolism 
pae00052,Galactose metabolism 
lsv00500,Starch and sucrose metabolism 
hsa00630,Glyoxylate and dicarboxylate metabolism 
pae00053,Ascorbate and aldarate metabolism 
lsv00520,Amino sugar and nucleotide sugar metabolism 
hsa00640,Propanoate metabolism 
pae00500,Starch and sucrose metabolism 
lsv00620,Pyruvate metabolism 
hsa00650,Butanoate metabolism 
pae00520,Amino sugar and nucleotide sugar metabolism 
lsv00630,Glyoxylate and dicarboxylate metabolism 
hsa00562,Inositol phosphate metabolism 
pae00620,Pyruvate metabolism 
lsv00640,Propanoate metabolism 
hsa00190,Oxidative phosphorylation 
