hsa,pae,lsv
Dilated cardiomyopathy,Phenazine biosynthesis,Flavone and flavonol biosynthesis
Yersinia infection,Carbapenem biosynthesis,Photosynthesis - antenna proteins
Fat digestion and absorption,Bacterial secretion system,Phenylpropanoid biosynthesis
Toxoplasmosis,Two-component system,"Cutin, suberine and wax biosynthesis"
"Parathyroid hormone synthesis, secretion and action",Mycolic acid biosynthesis,Glucosinolate biosynthesis
Apoptosis - multiple species,Cationic antimicrobial peptide (CAMP) resistance,"Tropane, piperidine and pyridine alkaloid biosynthesis"
Kaposi sarcoma-associated herpesvirus infection,Chlorocyclohexane and chlorobenzene degradation,Zeatin biosynthesis
Arrhythmogenic right ventricular cardiomyopathy,Benzoate degradation,Isoflavonoid biosynthesis
TNF signaling pathway,Caprolactam degradation,Sesquiterpenoid and triterpenoid biosynthesis
Retrograde endocannabinoid signaling,Styrene degradation,Indole alkaloid biosynthesis
PI3K-Akt signaling pathway,Biosynthesis of siderophore group nonribosomal peptides,Plant-pathogen interaction
Non-small cell lung cancer,beta-Lactam resistance,Flavonoid biosynthesis
Mannose type O-glycan biosynthesis,Aminobenzoate degradation,Anthocyanin biosynthesis
Diabetic cardiomyopathy,Nitrotoluene degradation,Plant hormone signal transduction
Pancreatic secretion,Biofilm formation - Pseudomonas aeruginosa,Monoterpenoid biosynthesis
Virion - Herpesvirus,Toluene degradation,Circadian rhythm - plant
Transcriptional misregulation in cancer,Phosphotransferase system (PTS),Diterpenoid biosynthesis
Measles,Teichoic acid biosynthesis,Betalain biosynthesis
Cytokine-cytokine receptor interaction,Polyketide sugar unit biosynthesis,Brassinosteroid biosynthesis
Alzheimer disease,Acarbose and validamycin biosynthesis,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
Bile secretion,Fluorobenzoate degradation,Isoquinoline alkaloid biosynthesis
Ovarian steroidogenesis,Quorum sensing,Photosynthesis
Gap junction,Chloroalkane and chloroalkene degradation,Carotenoid biosynthesis
Adipocytokine signaling pathway,Flagellar assembly,MAPK signaling pathway - plant
Hepatitis B,Xylene degradation,
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Other carbon fixation pathways,
Aldosterone synthesis and secretion,Limonene degradation,
Human T-cell leukemia virus 1 infection,Biosynthesis of various other secondary metabolites,
Tuberculosis,"Pinene, camphor and geraniol degradation",
African trypanosomiasis,Lipopolysaccharide biosynthesis,
Long-term potentiation,Vancomycin resistance,
Hippo signaling pathway - multiple species,Peptidoglycan biosynthesis,
Virion - Human immunodeficiency virus,Naphthalene degradation,
Platelet activation,Degradation of flavonoids,
Neuroactive ligand-receptor interaction,Degradation of aromatic compounds,
Viral protein interaction with cytokine and cytokine receptor,Streptomycin biosynthesis,
Apelin signaling pathway,Methane metabolism,
Ferroptosis,Novobiocin biosynthesis,
Amphetamine addiction,Bacterial chemotaxis,
AMPK signaling pathway,Microbial metabolism in diverse environments,
GnRH secretion,O-Antigen nucleotide sugar biosynthesis,
Phototransduction,,
Serotonergic synapse,,
B cell receptor signaling pathway,,
TGF-beta signaling pathway,,
Cholinergic synapse,,
"Neomycin, kanamycin and gentamicin biosynthesis",,
Progesterone-mediated oocyte maturation,,
Insulin resistance,,
MicroRNAs in cancer,,
Glucagon signaling pathway,,
Hypertrophic cardiomyopathy,,
Herpes simplex virus 1 infection,,
T cell receptor signaling pathway,,
Estrogen signaling pathway,,
Thyroid hormone synthesis,,
Phospholipase D signaling pathway,,
Carbohydrate digestion and absorption,,
Chagas disease,,
Hepatitis C,,
Longevity regulating pathway,,
Thyroid hormone signaling pathway,,
Relaxin signaling pathway,,
Protein digestion and absorption,,
Necroptosis,,
Adherens junction,,
Th1 and Th2 cell differentiation,,
Pathogenic Escherichia coli infection,,
Cellular senescence,,
Neutrophil extracellular trap formation,,
Type II diabetes mellitus,,
Mitophagy - animal,,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,,
Colorectal cancer,,
NOD-like receptor signaling pathway,,
Synaptic vesicle cycle,,
Regulation of actin cytoskeleton,,
Tight junction,,
PPAR signaling pathway,,
Signaling pathways regulating pluripotency of stem cells,,
GABAergic synapse,,
Renin-angiotensin system,,
Rheumatoid arthritis,,
Chemical carcinogenesis - reactive oxygen species,,
Cushing syndrome,,
Non-alcoholic fatty liver disease,,
Type I diabetes mellitus,,
HIF-1 signaling pathway,,
Steroid hormone biosynthesis,,
mTOR signaling pathway,,
Proteoglycans in cancer,,
Osteoclast differentiation,,
Small cell lung cancer,,
Retinol metabolism,,
VEGF signaling pathway,,
Vascular smooth muscle contraction,,
GnRH signaling pathway,,
Vitamin digestion and absorption,,
Glutamatergic synapse,,
Legionellosis,,
Regulation of lipolysis in adipocytes,,
Virion - Flavivirus and Alphavirus,,
Long-term depression,,
cAMP signaling pathway,,
ECM-receptor interaction,,
Alcoholism,,
Cortisol synthesis and secretion,,
Leukocyte transendothelial migration,,
Drug metabolism - other enzymes,,
Chronic myeloid leukemia,,
JAK-STAT signaling pathway,,
Autophagy - animal,,
Cell cycle,,
p53 signaling pathway,,
RIG-I-like receptor signaling pathway,,
Systemic lupus erythematosus,,
Antigen processing and presentation,,
Pathways of neurodegeneration - multiple diseases,,
Pathways in cancer,,
Mucin type O-glycan biosynthesis,,
Insulin secretion,,
Hippo signaling pathway,,
Platinum drug resistance,,
Thermogenesis,,
AGE-RAGE signaling pathway in diabetic complications,,
Natural killer cell mediated cytotoxicity,,
Pancreatic cancer,,
Circadian rhythm,,
Proximal tubule bicarbonate reclamation,,
Bladder cancer,,
Complement and coagulation cascades,,
Chemical carcinogenesis - receptor activation,,
Glioma,,
Thyroid cancer,,
Acute myeloid leukemia,,
Olfactory transduction,,
Endocrine and other factor-regulated calcium reabsorption,,
Sphingolipid signaling pathway,,
Viral myocarditis,,
Melanogenesis,,
Circadian entrainment,,
Virion - Adenovirus,,
Leishmaniasis,,
Vasopressin-regulated water reabsorption,,
Virion - Rotavirus,,
Fluid shear stress and atherosclerosis,,
Cardiac muscle contraction,,
Primary bile acid biosynthesis,,
Cholesterol metabolism,,
EGFR tyrosine kinase inhibitor resistance,,
Basal cell carcinoma,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,,
Amyotrophic lateral sclerosis,,
Viral carcinogenesis,,
Axon guidance,,
MAPK signaling pathway,,
Inflammatory mediator regulation of TRP channels,,
Morphine addiction,,
Apoptosis,,
Neurotrophin signaling pathway,,
Epstein-Barr virus infection,,
NF-kappa B signaling pathway,,
Intestinal immune network for IgA production,,
Hematopoietic cell lineage,,
Collecting duct acid secretion,,
Chemical carcinogenesis - DNA adducts,,
Coronavirus disease - COVID-19,,
Metabolism of xenobiotics by cytochrome P450,,
"Virion - Ebolavirus, Lyssavirus and Morbillivirus",,
Gastric cancer,,
"Growth hormone synthesis, secretion and action",,
Taste transduction,,
Human immunodeficiency virus 1 infection,,
Rap1 signaling pathway,,
Endometrial cancer,,
Gastric acid secretion,,
Choline metabolism in cancer,,
Mineral absorption,,
Renin secretion,,
Th17 cell differentiation,,
C-type lectin receptor signaling pathway,,
Drug metabolism - cytochrome P450,,
Pertussis,,
IL-17 signaling pathway,,
